time,strike_price,stock_price,volatility,interest_rate,type_o1,price_o1,delta_o1,gamma_o1,theta_o1,type_o2,price_o2,delta_o2,gamma_o2,theta_o12
1.294848,308.8,462.39,0.2097,0.0829,call,185.509844,0.98812127,0.0002806,-23.8170963,put,0.4894457,-0.01187873,0.0002806,-0.82315632
0.617784,427.16,320.22,0.2852,0.0034,call,3.94946756,0.1222149,0.00282286,-11.89175817,put,109.9931743,-0.8777851,0.00282286,-10.44246157
0.720571,417.55,113.16,0.9201,0.0637,call,3.53636849,0.11079142,0.00213848,-12.16464078,put,289.1938709,-0.88920858,0.00213848,13.24003412
0.367485,149.74,492.11,0.9231,0.0879,call,347.8704366,0.99312498,0.00006965,-19.56742919,put,0.74083142,-0.00687502,0.00006965,-6.82365248
0.798861,332.59,134.8,0.5093,0.0771,call,1.15604846,0.05250219,0.00174736,-4.57446409,put,179.0792056,-0.94749781,0.00174736,19.53649133
0.665891,124.73,346.32,0.8259,0.0889,call,231.7685044,0.97381456,0.00026031,-20.02543369,put,3.0090745,-0.02618544,0.00026031,-9.574299
0.955281,237.62,5.98,0.227,0.0568,call,0,0,0,0,put,219.0903001,-1,0,12.78399304
1.837487,140.53,106.51,0.1188,0.0569,call,1.35292224,0.16073103,0.0142278,-2.0361102,put,21.42209435,-0.83926897,0.0142278,5.1662447
1.938235,384.46,114.93,0.6355,0.0313,call,7.74041627,0.19658741,0.00272481,-7.73272222,put,254.6398766,-0.80341259,0.00272481,3.59253988
0.725575,290.76,36.53,0.7711,0.0922,call,0.01952804,0.00318711,0.00040266,-0.16867794,put,235.4346177,-0.99681289,0.00040266,24.90465933
1.154505,272.66,71.54,0.0764,0.0423,call,0,0,0,0,put,188.1244021,-1,0,10.98380421
0.13101,24.68,111.25,0.9618,0.0894,call,86.85739766,0.99999709,0.00000036,-2.18270412,put,0.00002442,-0.00000291,0.00000036,-0.00200329
1.002378,387.63,13.71,0.4348,0.0907,call,0,0,0,0,put,340.2328969,-1,0,32.10262074
1.626753,220.2,289.95,0.0823,0.0468,call,85.89472892,0.99966207,0.00004059,-9.55675837,put,0.00271193,-0.00033793,0.00004059,-0.00684476
0.754846,3.64,344.52,0.7527,0.0312,call,340.9647248,1,0,-0.11092459,put,0,0,0,0
1.243996,307.76,347.72,0.8234,0.0365,call,142.1303603,0.73941954,0.00101691,-45.87743294,put,88.50876009,-0.26058046,0.00101691,-35.14284135
1.378119,270.07,471.97,0.4157,0.0383,call,224.1602903,0.9326828,0.00056565,-19.16114952,put,8.37513331,-0.0673172,0.00056565,-9.34927003
1.594177,216.12,158.66,0.8584,0.0316,call,53.53204472,0.61914035,0.00221574,-21.96214555,put,100.3744659,-0.38085965,0.00221574,-15.46826904
0.499477,213.32,426.02,0.5048,0.0393,call,217.7544144,0.98508037,0.00024802,-13.67036208,put,0.90789103,-0.01491963,0.00024802,-5.44984445
0.89849,247.75,205.86,0.423,0.0151,call,19.67323443,0.40996309,0.00470965,-18.8332592,put,58.22465965,-0.59003691,0.00470965,-15.14264668
0.196159,191.88,375.53,0.2039,0.0591,call,185.8616198,1,0,-11.20940127,put,0,0,0,0
0.192429,251.8,335.09,0.2731,0.0588,call,86.19671412,0.99445243,0.00039508,-16.17995507,put,0.07369889,-0.00554757,0.00039508,-1.54069637
1.209084,294.96,180.81,0.8477,0.0645,call,42.50579068,0.50984893,0.00236638,-31.00047399,put,134.5271399,-0.49015107,0.00236638,-13.40285196
1.951381,392.59,78.56,0.9667,0.0884,call,13.84908123,0.34882888,0.00348718,-11.25437229,put,265.6757625,-0.65117112,0.00348718,17.95181033
1.525817,104.31,431.48,0.3757,0.0712,call,337.9200619,0.99978873,0.00000398,-6.70730833,put,0.01186268,-0.00021127,0.00000398,-0.04499611
1.386942,130.15,440.23,0.6161,0.044,call,320.2908376,0.98326545,0.00013022,-9.74306196,put,2.50586622,-0.01673455,0.00013022,-4.3554807
1.406339,201.61,451.75,0.2646,0.0566,call,265.6288453,0.99856674,0.00003302,-10.73372044,put,0.06301632,-0.00143326,0.00003302,-0.19569636
0.514173,172.34,219.97,0.0477,0.0615,call,52.99441063,1,0,-10.26899875,put,0,0,0,0
0.723346,97.92,275.54,0.8863,0.0359,call,184.3272469,0.96277553,0.00039128,-14.57410256,put,4.19718031,-0.03722447,0.00039128,-11.14888595
0.082777,2.94,93.97,0.3512,0.0717,call,91.04739755,1,0,-0.2095506,put,0,0,0,0
1.05791,230.39,221.35,0.8526,0.0443,call,75.52814242,0.67229753,0.00186044,-36.37754946,put,74.0199238,-0.32770247,0.00186044,-26.63855855
0.824175,139.08,73.77,0.8203,0.0511,call,8.60114743,0.3363032,0.00664159,-12.98860683,put,68.17537537,-0.6636968,0.00664159,-6.17471678
0.590045,207.47,28.53,0.2649,0.0488,call,0,0,0,0,put,173.0512558,-1,0,9.83716529
0.25652,308.68,409.08,0.3751,0.0468,call,105.8493184,0.94954658,0.00133665,-28.96142257,put,1.76572824,-0.05045342,0.00133665,-14.68759059
0.901752,321.57,382.06,0.0678,0.0838,call,83.89487732,0.9999484,0.00000863,-24.98747968,put,0.00029691,-0.0000516,0.00000863,-0.00121751
0.217472,232.96,192.11,0.3186,0.0994,call,1.91912105,0.14054681,0.00781865,-17.13822406,put,37.78732968,-0.85945319,0.00781865,5.52280988
0.01622,312.31,393.46,0.5078,0.0391,call,81.34895878,0.99984906,0.00002288,-12.65799373,put,0.00095394,-0.00015094,0.00002288,-0.45441472
1.623694,180.54,332.6,0.891,0.0379,call,205.1303421,0.87698092,0.00053908,-26.95163287,put,42.29521129,-0.12301908,0.00053908,-20.51754432
1.818911,194.08,274.48,0.5818,0.0954,call,135.5182659,0.85433464,0.00106154,-22.97812314,put,24.20071677,-0.14566536,0.00106154,-7.41242533
1.058023,203.65,272.85,0.2642,0.0845,call,88.8220559,0.93837338,0.0016405,-18.39195577,put,2.20530037,-0.06162662,0.0016405,-2.65524662
0.166692,347.79,40.35,0.2596,0.0658,call,0,0,0,0,put,303.6461673,-1,0,22.63494781
0.726402,134.1,112.91,0.278,0.0804,call,5.76235293,0.35906862,0.01397183,-9.67931945,put,19.34485946,-0.64093138,0.01397183,0.49067807
1.618575,180.62,357.26,0.5007,0.0612,call,201.5822936,0.93879621,0.00053164,-16.69499004,put,7.9082512,-0.06120379,0.00053164,-6.68352944
1.338797,132.82,75.57,0.3233,0.0747,call,1.81888557,0.1461369,0.00810505,-3.10808376,put,46.42841366,-0.8538631,0.00810505,5.86932699
1.375601,11.29,91.28,0.8486,0.0722,call,81.19201632,0.99650516,0.00011553,-1.05191868,put,0.13459619,-0.00349484,0.00011553,-0.31384842
0.858515,478.07,353.85,0.1792,0.0223,call,1.24342949,0.05328558,0.00184651,-4.10498845,put,116.3978908,-0.94671442,0.00184651,6.35381104
0.934926,441.27,135.23,0.0866,0.0934,call,0,0,0,0,put,269.1418375,-1,0,37.76832963
0.446379,167.45,229.5,0.7676,0.0929,call,82.76907469,0.82943324,0.00215461,-43.42764078,put,13.91716371,-0.17056676,0.00215461,-28.50343331
0.966387,301.84,329.61,0.0824,0.0204,call,34.74216263,0.9147212,0.00584247,-7.59675849,put,1.0798719,-0.0852788,0.00584247,-1.55942522
0.710051,141.49,378.24,0.5301,0.027,call,239.8685633,0.99319857,0.00011244,-5.92682724,put,0.43184148,-0.00680143,0.00011244,-2.17913873
1.58349,381.15,43.37,0.8741,0.0916,call,1.49531206,0.09781358,0.00361985,-2.85273816,put,287.8128379,-0.90218642,0.00361985,27.34663921
1.267092,497.46,439.67,0.5913,0.0522,call,105.4569959,0.59740578,0.0013224,-52.89516571,put,131.4084385,-0.40259422,0.0013224,-28.58972641
0.822285,18.87,207.38,0.6819,0.0399,call,189.1194172,0.99998875,0.00000039,-0.7324083,put,0.00035417,-0.00001125,0.00000039,-0.00379691
1.771621,74.07,127.4,0.8614,0.0767,call,79.05040279,0.87794849,0.00138592,-10.86135114,put,16.30939986,-0.12205151,0.00138592,-5.90200606
0.490152,151.99,412.72,0.5343,0.0092,call,261.5171706,0.99794501,0.00004209,-2.40662047,put,0.10333012,-0.00205499,0.00004209,-1.0146038
0.421123,143.41,168.62,0.9296,0.0942,call,53.65968564,0.7375567,0.00320414,-46.02398662,put,22.87200568,-0.2624433,0.00320414,-33.04018207
1.732251,281.43,262.89,0.4686,0.0736,call,69.68887702,0.65711323,0.00226716,-24.78818879,put,54.54142035,-0.34288677,0.00226716,-6.5543376
0.538816,335.2,464.47,0.0694,0.0969,call,146.3221862,1,0,-30.82852316,put,0,0,0,0
0.362973,237.71,334.26,0.2329,0.0701,call,102.5772287,0.99632745,0.00023397,-16.86390857,put,0.05513897,-0.00367255,0.00023397,-0.61908106
1.84873,79.87,490.58,0.4381,0.0883,call,422.7518789,0.99985218,0.00000195,-6.02794978,put,0.01224949,-0.00014782,0.00000195,-0.03764505
1.418003,315.95,417.99,0.7205,0.0122,call,181.380654,0.78093448,0.00082362,-39.12019426,put,73.92184066,-0.21906552,0.00082362,-35.33171378
0.309066,196.56,260.33,0.7752,0.0913,call,82.39622409,0.82457592,0.00230115,-58.93455968,put,13.15727149,-0.17542408,0.00230115,-41.48794705
0.517653,460.57,499.08,0.4269,0.0751,call,89.76314301,0.70594877,0.00224751,-70.72940553,put,33.69171181,-0.29405123,0.00224751,-37.45946201
1.541421,451.03,495.34,0.1932,0.0725,call,103.601005,0.83559436,0.00208436,-32.04165577,put,11.60139017,-0.16440564,0.00208436,-2.79947785
0.40707,171.8,195.92,0.9281,0.0102,call,56.22038362,0.70019044,0.00299614,-50.35709343,put,31.38852931,-0.29980956,0.00299614,-48.61199435
0.813787,233.65,346.36,0.6049,0.0262,call,137.0005903,0.84927133,0.00123762,-31.28055074,put,19.36161997,-0.15072867,0.00123762,-25.28805976
0.045252,259.67,178.26,0.1639,0.0844,call,0,0,0,0,put,80.42014194,-1,0,21.83260398
1.408766,231.45,11.63,0.0173,0.0085,call,0,0,0,0,put,217.0650271,-1,0,1.94390773
1.08199,147.15,294.5,0.5582,0.0622,call,161.9770652,0.94533072,0.00064746,-15.98995023,put,5.04979158,-0.05466928,0.00064746,-7.43292664
0.850477,278.33,483.49,0.2997,0.0227,call,211.1860177,0.98630978,0.00026195,-8.78110955,put,0.70416332,-0.01369022,0.00026195,-2.58382464
1.875873,22.38,202.22,0.3678,0.0345,call,181.2425296,0.99999898,0.00000005,-0.72385221,put,0.00002223,-0.00000102,0.00000005,-0.00012871
1.137486,48.73,472.96,0.0173,0.0486,call,426.8507751,1,0,-2.24090833,put,0,0,0,0
0.551851,217.71,275.17,0.3932,0.0246,call,68.17763004,0.83998679,0.00302734,-21.72870966,put,7.78207137,-0.16001321,0.00302734,-16.4452584
0.378635,464.78,365.08,0.6184,0.0942,call,28.29497256,0.36297319,0.00270061,-78.64259989,put,111.7096251,-0.63702681,0.00270061,-36.39440362
0.716231,173.79,305.79,0.2393,0.0547,call,138.6955141,0.99898149,0.00005529,-9.27106064,put,0.01844859,-0.00101851,0.00005529,-0.12998312
0.968023,133.16,96.74,0.2789,0.0174,call,2.09350496,0.16706121,0.0094264,-3.67581841,put,36.28939476,-0.83293879,0.0094264,-1.39753393
0.411786,237.63,117.37,0.3884,0.0934,call,0.04651497,0.00536731,0.00052648,-0.60154262,put,111.3405956,-0.99463269,0.00052648,20.75568251
0.674534,21.97,124.19,0.3837,0.0463,call,102.8955397,1,0,-0.98593424,put,0.00000003,0,0,-0.00000073
1.938509,323.19,436.86,0.8859,0.0872,call,256.275447,0.84088484,0.00044991,-43.37939281,put,92.34191219,-0.15911516,0.00044991,-19.58020504
1.991665,253.81,209.61,0.3302,0.0833,call,36.47318006,0.5708055,0.00401976,-16.55660478,put,41.87226035,-0.4291945,0.00401976,1.35365161
1.245715,153.49,48.39,0.8798,0.0558,call,5.13558911,0.26967929,0.00695433,-6.74399074,put,99.92873071,-0.73032071,0.00695433,1.24562856
1.110197,290.98,202.18,0.8834,0.0989,call,56.51208548,0.5762066,0.0020811,-39.1261377,put,115.0544368,-0.4237934,0.0020811,-13.34069716
1.436017,54.21,281.78,0.2458,0.0034,call,227.834033,1,0,-0.18341701,put,0.00000006,0,0,-0.00000072
0.287123,126.9,445.5,0.6484,0.0161,call,319.1880991,0.99992806,0.00000188,-2.11135671,put,0.0028348,-0.00007194,0.00000188,-0.07768946
0.122359,195.29,470.48,0.7731,0.0739,call,276.9588188,0.99968688,0.00000905,-14.88867557,put,0.01090195,-0.00031312,0.00000905,-0.58665462
0.813357,368.86,298.88,0.6756,0.0722,call,55.2349368,0.52223181,0.0021873,-51.87272949,put,104.177611,-0.47776819,0.0021873,-26.75993241
1.403091,427.95,121.1,0.1159,0.0107,call,0,0,0,0,put,300.473143,-1,0,4.51083263
1.660049,405.19,282.83,0.7582,0.0795,call,86.366895,0.60084062,0.00139753,-38.77669026,put,158.6307722,-0.39915938,0.00139753,-10.54672702
1.244234,181.53,423.82,0.5155,0.0193,call,250.915466,0.96437006,0.00032174,-10.72444323,put,4.31818006,-0.03562994,0.00032174,-7.30404485
0.562984,157.42,427.62,0.5114,0.019,call,272.0036398,0.99762894,0.00004508,-4.01549229,put,0.12873981,-0.00237106,0.00004508,-1.05633539
1.188872,479.58,325.71,0.1909,0.0265,call,1.44847392,0.05442857,0.00162734,-3.57713648,put,140.4447831,-0.94557143,0.00162734,8.73758071
1.465244,382.43,492.32,0.1504,0.0745,call,150.0939207,0.98114678,0.00051377,-26.2127703,put,0.65543628,-0.01885322,0.00051377,-0.66809739
0.558792,351.93,78.03,0.0727,0.0845,call,0,0,0,0,put,257.668813,-1,0,28.3665497
0.34,361.75,64.74,0.3728,0.0372,call,0,0,0,0,put,292.4633993,-1,0,13.28796645
1.870953,250.93,475.19,0.3327,0.0196,call,237.9004854,0.95648443,0.00042663,-9.57727023,put,4.60538607,-0.04351557,0.00042663,-4.83613018
1.899164,417.63,7.02,0.8192,0.0532,call,0.0026155,0.00151246,0.00062036,-0.01068385,put,370.4787573,-0.99848754,0.00062036,20.07211089
0.644172,326.37,112.49,0.7903,0.0746,call,2.63533021,0.09915581,0.00244442,-10.29505203,put,201.2024238,-0.90084419,0.00244442,12.90980715
0.949346,424.34,12.63,0.0749,0.0092,call,0,0,0,0,put,408.0199594,-1,0,3.86997963
1.833558,119.71,182.46,0.1376,0.0405,call,71.34936978,0.99705362,0.00026478,-4.56165781,put,0.03185761,-0.00294638,0.00026478,-0.06038705
0.397068,312.06,91.97,0.633,0.0928,call,0.02762531,0.00279312,0.00023384,-0.4175376,put,208.8281407,-0.99720688,0.00023384,27.49396623
0.050879,118.7,58.24,0.4309,0.066,call,0,0,0,0,put,60.06207224,-1,0,7.80793677
0.107181,234.87,191.97,0.4953,0.0736,call,1.93885834,0.13261552,0.00688995,-32.87611506,put,42.99336993,-0.86738448,0.00688995,-15.72551101
1.713895,58.36,450.38,0.4564,0.0017,call,392.197094,0.99990179,0.00000145,-0.12938138,put,0.00730252,-0.00009821,0.00000145,-0.03045803
0.890257,22.11,10.06,0.6573,0.0641,call,0.51111618,0.19280222,0.04388656,-1.05102046,put,11.33472368,-0.80719778,0.04388656,0.28761878
0.377359,287.36,191.64,0.182,0.0099,call,0.001063,0.00020454,0.00003611,-0.02234324,put,94.64953075,-0.99979546,0.00003611,2.81191259
0.481539,223.01,120.79,0.1195,0.0456,call,0,0,0,0,put,97.3764787,-1,0,9.94839143
0.832189,407.88,336.52,0.2531,0.065,call,14.02381906,0.31447263,0.00456871,-22.53895917,put,63.90676582,-0.68552737,0.00456871,2.57723237
0.76396,298.88,335.6,0.0051,0.0964,call,57.94025894,1,0,-26.76639904,put,0,0,0,0
0.73185,132.43,411.07,0.6026,0.0394,call,282.8882938,0.99397939,0.00008048,-7.42198431,put,0.48421846,-0.00602061,0.00008048,-2.35254688
1.180867,125.55,488.37,0.5877,0.0001,call,363.7455969,0.99278698,0.00006415,-2.65454611,put,0.91077197,-0.00721302,0.00006415,-2.64199259
0.414943,92.06,1.05,0.216,0.0145,call,0,0,0,0,put,90.457768,-1,0,1.32686264
1.576444,407.98,281.57,0.0121,0.0941,call,0,0,0,0,put,70.16384703,-1,0,33.09815501
0.711731,93.17,228.63,0.5049,0.0496,call,138.9929542,0.99187624,0.00022814,-5.87387233,put,0.3012582,-0.00812376,0.00022814,-1.41293246
0.144987,387.69,379.26,0.0721,0.0767,call,2.42783273,0.35123851,0.03561966,-23.34798365,put,6.5704083,-0.64876149,0.03561966,6.0589939
1.401974,195.52,38.38,0.1601,0.0413,call,0,0,0,0,put,146.1406073,-1,0,7.62070108
1.064648,153.48,297.05,0.6775,0.0584,call,163.6932358,0.91667858,0.00073823,-21.29246807,put,10.87115524,-0.08332142,0.00073823,-12.86955757
0.673682,132.25,44.05,0.7409,0.09,call,0.77977816,0.08015014,0.0055577,-3.20746633,put,81.19952521,-0.91984986,0.0055577,7.9948109
1.249896,290.57,275.42,0.72,0.0087,call,82.10491967,0.63662872,0.00169288,-34.09643184,put,94.11235109,-0.36337128,0.00169288,-31.59581319
1.108573,59.14,296.7,0.8986,0.0336,call,241.5780702,0.98669136,0.00012169,-6.04459347,put,1.85574162,-0.01330864,0.00012169,-4.13014371
0.714752,248.58,217.16,0.2612,0.0995,call,13.36484746,0.42878673,0.00818626,-21.10444144,put,27.72036491,-0.57121327,0.00818626,1.93135255
0.676169,102.89,54.73,0.3491,0.0264,call,0.12365811,0.02311577,0.00348299,-0.66586501,put,46.46327897,-0.97688423,0.00348299,2.00237299
0.224742,203.79,261.32,0.6538,0.018,call,66.64498905,0.83404605,0.00307623,-47.62128692,put,8.29225121,-0.16595395,0.00307623,-43.9678762
0.256732,50.78,436.1,0.0527,0.0057,call,385.3942557,1,0,-0.28902274,put,0,0,0,0
0.971018,143.83,162.17,0.49,0.0951,call,46.09117316,0.75213554,0.00403979,-19.97089801,put,15.06416056,-0.24786446,0.00403979,-7.4991999
0.295368,155.14,102.96,0.7241,0.0112,call,3.83254639,0.20139694,0.00693849,-19.47206855,put,55.50017237,-0.79860306,0.00693849,-17.74023914
1.769367,3.47,7.84,0.962,0.014,call,5.36103793,0.90253661,0.01716747,-0.51227613,put,0.90613796,-0.09746339,0.01716747,-0.46488473
1.053787,48.47,383.07,0.6036,0.0439,call,336.797764,0.99990068,0.00000166,-2.07396307,put,0.00655604,-0.00009932,0.00000166,-0.0423241
1.039962,98.78,398.51,0.0295,0.0372,call,303.4784855,1,0,-3.53517234,put,0,0,0,0
1.472459,476.5,434.44,0.0671,0.0892,call,23.6847037,0.69807693,0.00985764,-29.1276278,put,7.09548251,-0.30192307,0.00985764,8.14466167
1.686144,163.52,260.67,0.7031,0.0979,call,145.7617843,0.87452857,0.00086725,-22.61320579,put,23.72917294,-0.12547143,0.00086725,-9.04060545
0.61627,38.57,131.59,0.9505,0.0306,call,94.72394759,0.9794761,0.00050405,-4.98811896,put,0.98341506,-0.0205239,0.00050405,-3.82992526
0.803187,483.86,445,0.8444,0.0023,call,118.5842199,0.60649214,0.0011422,-80.98379773,put,156.5511958,-0.39350786,0.0011422,-79.87297369
1.802212,273.83,390.92,0.3168,0.0878,call,164.1366272,0.92245277,0.00087335,-23.9473265,put,6.97155803,-0.07754723,0.00087335,-3.42364357
0.410332,33.77,85.46,0.3442,0.0419,call,52.26566415,0.99999457,0.00000133,-1.3913977,put,0.00002222,-0.00000543,0.00000133,-0.0005541
1.207295,280.06,312.2,0.9008,0.0142,call,130.7013661,0.73301909,0.00106399,-43.46946274,put,93.8010536,-0.26698091,0.00106399,-39.56020718
0.786961,260.57,441.44,0.6646,0.0464,call,207.5096741,0.89451056,0.00070102,-38.86298169,put,17.29658256,-0.10548944,0.00070102,-27.20605313
0.381936,149.56,382.09,0.3933,0.0918,call,237.6833662,0.99998143,0.00000087,-13.26568228,put,0.0003985,-0.00001857,0.00000087,-0.00911672
1.614288,157.39,342.15,0.6457,0.0798,call,215.2956838,0.93495471,0.00045196,-19.37662474,put,11.51227471,-0.06504529,0.00045196,-8.33497078
0.435131,161.13,163.91,0.2829,0.086,call,16.71207728,0.65006659,0.01210853,-20.74408371,put,8.01381376,-0.34993341,0.01210853,-7.39587437
0.411462,43.21,113.76,0.2193,0.0031,call,70.60508061,1,0,-0.13378025,put,0,0,0,0
0.984553,437.78,72.7,0.1882,0.0064,call,0,0,0,0,put,362.3301599,-1,0,2.78419302
1.702051,278.03,305.86,0.4642,0.0484,call,94.52812607,0.7245315,0.00180289,-24.32221282,put,44.71224089,-0.2754685,0.00180289,-11.92967766
1.046202,46.66,330.69,0.0226,0.0644,call,287.0701703,1,0,-2.80911704,put,0,0,0,0
1.366988,129.97,272.97,0.8394,0.0839,call,174.2080713,0.91366602,0.00058767,-21.73543568,put,17.12481434,-0.08633398,0.00058767,-12.01253793
0.302909,307.22,21.98,0.0301,0.0664,call,0,0,0,0,put,279.1225624,-1,0,19.99321015
0.526686,272.11,23.34,0.1163,0.1,call,0,0,0,0,put,234.8092217,-1,0,25.81492217
1.116143,397.9,247.99,0.8233,0.0456,call,51.42134331,0.47999119,0.00184719,-41.5835371,put,181.5865067,-0.52000881,0.00184719,-24.33966164
1.486444,314.35,88.58,0.7098,0.0707,call,5.33924368,0.18154528,0.00344148,-7.56180685,put,199.7503368,-0.81845472,0.00344148,12.44566344
0.673935,370.75,291.13,0.4197,0.0509,call,18.55527926,0.33365743,0.00362623,-31.06914619,put,85.67299464,-0.66634257,0.00362623,-12.83433747
0.670362,150.57,321.25,0.8575,0.0608,call,185.9460768,0.9316827,0.00058425,-29.05988147,put,9.25252589,-0.0683173,0.00058425,-20.27084936
1.966872,9.51,65.98,0.4763,0.0383,call,57.16569093,0.9995908,0.00003348,-0.35308855,put,0.00560986,-0.0004092,0.00003348,-0.01528566
0.039783,454.01,117.75,0.6396,0.0667,call,0,0,0,0,put,335.0568696,-1,0,30.2022182
0.701465,11.61,197.59,0.2301,0.0097,call,186.0587287,1,0,-0.11185333,put,0,0,0,0
0.734204,425.26,81.91,0.0132,0.0808,call,0,0,0,0,put,318.8557385,-1,0,32.38187167
1.651466,119.89,385.66,0.9848,0.0277,call,292.2626661,0.94432332,0.00023013,-18.59008804,put,21.13177851,-0.05567668,0.00023013,-15.41763162
1.267048,495.27,45.69,0.216,0.0571,call,0,0,0,0,put,415.0134809,-1,0,26.30616876
1.11567,1.52,413.56,0.3651,0.0893,call,412.1841372,1,0,-0.12286455,put,0,0,0,0
1.800652,415.91,454.17,0.6057,0.046,call,170.4601735,0.73124183,0.00089365,-41.24929692,put,99.13850091,-0.26875817,0.00089365,-23.63827386
1.122525,124.3,183.43,0.7131,0.0321,call,82.86021357,0.8265215,0.00184975,-18.03111651,put,19.33103896,-0.1734785,0.00184975,-14.18230001
1.730972,303.45,421.95,0.8634,0.0586,call,232.9059667,0.82830405,0.00053132,-42.09151172,put,85.13516287,-0.17169595,0.00053132,-26.02461082
0.727749,11.13,11.31,0.1635,0.0616,call,1.00132044,0.69363036,0.222487,-0.80196366,put,0.33338845,-0.30636964,0.222487,-0.14641227
1.943447,245.04,61.67,0.3159,0.0146,call,0.01564748,0.00219899,0.00025442,-0.05003148,put,176.5305174,-0.99780101,0.00025442,3.42746762
1.379173,441.38,430.76,0.5013,0.091,call,117.0073645,0.67945392,0.00141117,-48.88772835,put,75.56729124,-0.32054608,0.00141117,-13.45961501
0.926536,474.06,386.97,0.2269,0.047,call,12.38353069,0.26736247,0.00389294,-19.28687091,put,79.27258826,-0.73263753,0.00389294,2.0445048
0.301205,25.71,459.93,0.9578,0.0502,call,434.6058237,1,0,-1.27128256,put,0.00000016,0,0,-0.0000089
0.429459,210.98,384.73,0.2822,0.0611,call,179.2187541,0.999752,0.00001302,-12.6276297,put,0.00465285,-0.000248,0.00001302,-0.07060829
1.440476,481.34,421.12,0.1966,0.0146,call,21.46336375,0.35967475,0.00376383,-14.79772522,put,71.66603268,-0.64032525,0.00376383,-7.91641425
0.370772,313.07,210.49,0.1735,0.038,call,0.00095081,0.00017748,0.00003047,-0.02170472,put,98.20093063,-0.99982252,0.00003047,11.70851452
1.080391,39.06,99.18,0.6355,0.0462,call,63.18759689,0.9653561,0.00116959,-3.82729631,put,1.16581129,-0.0346439,0.00116959,-2.11058681
1.151416,127.89,190.9,0.3341,0.0849,call,76.89706734,0.94171034,0.00170156,-12.1949602,put,1.97678187,-0.05828966,0.00170156,-2.34828243
1.601846,107.64,193.47,0.3619,0.0035,call,89.4272647,0.93591472,0.00141516,-3.78955558,put,2.99547377,-0.06408528,0.00141516,-3.41492185
0.342366,495.18,189.62,0.9361,0.0909,call,2.96931398,0.07753981,0.00139792,-23.08899323,put,293.3561106,-0.92246019,0.00139792,20.54362458
0.96469,33.71,39.18,0.1078,0.0907,call,8.30991331,0.98926287,0.00683572,-2.8227317,put,0.01573231,-0.01073713,0.00683572,-0.02138792
0.772997,52.89,398.94,0.7965,0.0544,call,348.2716659,0.99950885,0.00000626,-3.06154482,put,0.04370031,-0.00049115,0.00000626,-0.30281015
